flow,temp,year,surv,proptrans
20,9,1929,0.55511879,0.176193819
20,9,1930,0.528623211,0.159846654
20,9,1931,0.533068505,0.161502192
20,9,1932,0.560003777,0.215625825
20,9,1933,0.566758633,0.172899414
20,9,1934,0.543944549,0.148864747
20,9,1935,0.562834771,0.163332108
20,9,1936,0.521957035,0.227815488
20,9,1937,0.562875349,0.162544326
20,9,1938,0.557221664,0.208189845
20,9,1939,0.529012217,0.180722007
20,9,1940,0.532308009,0.181509217
20,9,1941,0.577239108,0.156328253
20,9,1942,0.57435517,0.182141118
20,9,1943,0.543919909,0.207251662
20,9,1944,0.546609882,0.160049492
20,9,1945,0.558772635,0.2144074
20,9,1946,0.544396662,0.184746482
20,9,1947,0.538304685,0.224790607
20,9,1948,0.565606166,0.210520122
20,9,1949,0.541262964,0.242165579
20,9,1950,0.554440631,0.195916773
20,9,1951,0.561286042,0.194286439
20,9,1952,0.548994013,0.27078051
20,9,1953,0.570601777,0.18733518
20,9,1954,0.57175338,0.20030915
20,9,1955,0.56290789,0.177645897
20,9,1956,0.560229158,0.223069219
20,9,1957,0.561929216,0.253236687
20,9,1958,0.540637706,0.240565959
20,9,1959,0.573908945,0.175170757
20,9,1960,0.558374565,0.178062998
20,9,1961,0.567546253,0.165499745
20,9,1962,0.550094892,0.182286355
20,9,1963,0.570228064,0.203845676
20,9,1964,0.557807646,0.204488992
20,9,1965,0.56328053,0.24544971
20,9,1966,0.540168267,0.162566478
20,9,1967,0.568659176,0.188597457
20,9,1968,0.588373197,0.157747055
20,9,1969,0.545928551,0.233847929
20,9,1970,0.566556155,0.211640312
20,9,1971,0.557925344,0.25327701
20,9,1972,0.565090295,0.221540845
20,9,1973,0.565560729,0.164576185
20,9,1974,0.55438747,0.210968992
20,9,1975,0.558982068,0.203787029
20,9,1976,0.575948982,0.253378436
20,9,1977,0.560528908,0.152136366
20,9,1978,0.56062935,0.194642271
20,9,1979,0.565881748,0.205602674
20,9,1980,0.572758448,0.204363066
20,9,1981,0.575131305,0.187942969
20,9,1982,0.562593718,0.217580048
20,9,1983,0.575388034,0.21368052
20,9,1984,0.55227246,0.244061386
20,9,1985,0.542976664,0.185939785
20,9,1986,0.548492113,0.202114173
20,9,1987,0.550518855,0.145453656
20,9,1988,0.55488975,0.156849319
20,9,1989,0.531045136,0.1854213
20,9,1990,0.556069901,0.156997298
20,9,1991,0.573104533,0.15781013
20,9,1992,0.57749595,0.154276262
20,9,1993,0.558323264,0.237445769
20,9,1994,0.520549737,0.16062337
20,9,1995,0.572819657,0.219210774
20,9,1996,0.562761026,0.215215991
20,9,1997,0.552834583,0.248677605
20,9,1998,0.568176389,0.266179075
20,9,1999,0.564745355,0.205512435
20,9,2000,0.525310182,0.173480705
