,F.S0.Age0W,F.S1.ParrSpr,F.S2.ParrSu,F.S3.ParrF,F.S4.ParrW,F.S5.SmoltSpr,T.S0.Age0W,T.S1.ParrSpr,T.S2.ParrSu,T.S3.ParrF,T.S4.ParrW,T.S5.SmoltSpr,F.Spawner.Su,T.Spawner.Su,F.Spawner.Fall,T.Spawner.Fall,Tstream,Tjan.valley,Flow.Mean,Flow.Max,Tmarsh,Tsfsr
mean,1127.190232,3763.456248,1612.386398,1272.894454,1127.420776,3776.742819,-4.848022599,6.001694915,13.32372881,-1.725423729,-4.817816092,6.004597701,1619.36507,13.27818182,1263.584073,-1.744242424,16.4925196,0.3899462,436.8219673,953.037037,11.68611283,14.18962134
sd,161.9093891,1428.013793,763.0856226,219.65448,163.3138667,1436.802959,1.472692314,1.067482155,1.043682892,1.215439296,1.467001763,1.076570402,769.7585957,1.048302924,213.1876016,1.255982467,0.9433165,0.1758971,218.2235763,599.1386041,0.441027804,0.527943899
