ersstArc.win,ersstArc.spr,ersstArc.sum,ersstArc.aut,ersstWAcoast.win,ersstWAcoast.spr,ersstWAcoast.sum,ersstWAcoast.aut,transport.win,transport.spr,transport.sum,transport.aut,CRflow.win,CRflow.spr,CRflow.sum,CRtemp.spr,CRtemp.sum,cui.win,cui.spr,cui.sum,cui.aut,mei.win,mei.spr,mei.sum,mei.aut,npgo.win,npgo.spr,npgo.sum,npgo.aut,npi.win,npi.spr,npi.sum,npi.aut,oni.win,oni.spr,oni.sum,oni.aut,pdo.win,pdo.spr,pdo.sum,pdo.aut
sstArc,sstArc,sstArc,sstArc,sstWA,sstWA,sstWA,sstWA,,,,,,,,,,upw,upw,upw,upw,,,,,,,,,,,,,,,,,,,,
win,spr,sum,aut,win,spr,sum,aut,win,spr,sum,aut,win,spr,sum,spr,sum,win,spr,sum,aut,win,spr,sum,aut,win,spr,sum,aut,win,spr,sum,aut,win,spr,sum,aut,win,spr,sum,aut
