Year Species MigrationType 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 241 242 243 244 245 246 247 248 249 250 251 252 253 254 255 256 257 258 259 260 261 262 263 264 265 266 267 268 269 270 271 272 273 274 275 276 277 278 279 280 281 282 283 284 285 286 287 288 289 290 291 292 293 294 295 296 297 298 299 300 301 302 303 304 305 306 307 308 309 310 311 312 313 314 315 316 317 318 319 320 321 322 323 324 325 326 327 328 329 330 331 332 333 334 335 336 337 338 339 340 341 342 343 344 345 346 347 348 349 350 351 352 353 354 355 356 357 358 359 360 361 362 363 364 365
1929 Chinook_1 inriver 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.07 0.24 0.71 1.72 3.62 6.95 13.26 25.98 50.9 90.71 146.34 219.17 315.33 449.99 638.07 887.08 1191.92 1547.94 1946.33 2410.52 3003.65 3779.5 4717.66 5716.7 6773.14 7916.37 9271.56 10881.33 13000.25 15401.12 17402.32 19872.47 22477.13 24628.75 28269.34 30370.55 30380.92 28925.53 25024.65 20705.53 15929.53 12654.21 10696.33 9065.66 7944.87 7054.35 5824.02 4885.79 4515.25 4668.82 4540.97 4362.75 4152.77 3595.7 3051.67 2724.86 2595.12 2184.5 1801.02 1516.04 1015.16 737.8 635.91 487.18 375.63 287.7 247.89 233.23 183.58 159.03 116.62 82.26 66.53 60.27 56.83 40.21 38.41 43.7 41.32 35.16 19.19 8.43 3.08 0.75 0.11 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1929 Chinook_1 transport 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 343.81 2341.34 2489.47 2844.12 2865.6 2787.12 3286.69 3173.63 3127.37 3420.55 10949.12 15534.07 13347.6 11743.73 9695.46 7609.4 7372.85 6502.03 5507.19 5042.63 4491.98 4336.79 3989.55 4141.26 4636.97 5621.03 5902.57 5528.05 4854.99 4297.1 3924.02 4926.35 5567.63 5916.32 5075.54 3680.19 2621.4 1968.55 1737.98 1487.51 1400.77 1281.09 1191.8 1131.78 1201.15 1063.13 785.55 610.92 516.4 466.68 426.85 404.76 402.7 401.92 431.41 364.55 284.83 249.58 288.64 260.72 194.66 290.33 255.14 212.25 190.53 183.76 159.62 140.55 136.61 98.58 92.43 59.85 38.7 37.75 38.84 24.89 14.22 12 8.34 7.7 7.61 7.22 5.34 4.77 4.55 3.18 3.34 2.71 1.96 1.2 0.35 0.08 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1930 Chinook_1 inriver 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.05 0.17 0.51 1.37 3.39 7.7 16.01 30.92 58.77 110.32 199.54 333.3 520.84 783.98 1135.86 1564.04 2026.37 2500.64 2964.49 3436.68 4082.37 5034.68 6256.64 7575.09 9035.12 10677.84 12656.52 14802.24 16929.83 19538.09 21778.33 23689.89 24849.24 24568.6 24403.59 21939.15 18834.86 16192.78 13567.49 11771.81 10058.3 9462.39 9427.25 9104.48 8779.46 8572.88 7659.87 6874.07 6628.49 6804.44 6288.69 5759.55 5291.02 4543.61 3795.35 3244.78 2876.24 2131.92 1475.11 989.13 544.74 332.04 246.48 183.75 115.91 78.3 62.11 54.93 46.17 43.29 39.91 25.94 17.4 11.43 8.96 5.94 4.39 3.42 2.47 2.43 2.37 1.97 1.63 1.54 2.04 1.77 1.64 1.43 1.19 1.21 1.42 1.61 1.26 0.77 0.48 0.32 0.21 0.19 0.17 0.14 0.1 0.07 0.06 0.04 0.03 0.02 0.01 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1930 Chinook_1 transport 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 258.79 5134.34 4264.47 5975.4 6617.47 6073.12 6047.97 6917.93 6353.33 5070.56 10016.11 11254.93 9969.38 9694.9 9485.36 8025.62 7397.59 7260.1 5961.37 5334.44 4846.3 4506.82 3999.21 3601.27 3984.51 4531.78 5346.51 5585.55 4953.91 4010.69 3411.11 4026.82 4625.5 4418.29 3916.98 3033.21 2159.59 1703.03 1657.62 1744.05 1573.59 1292.18 1049.65 860.59 826.91 1037.82 863.54 624.72 538.61 498.78 384.77 309.76 334.77 344.15 287.01 267.57 239.91 159.35 131.4 165.83 169.84 299.31 296.18 176.85 116.64 90.45 112.33 109.66 96.25 92.48 69.79 54.03 47.46 53.29 44.89 33.9 23.42 17.77 13.59 10.54 10.18 8.62 7.06 5.31 5.53 5.2 3.99 4.03 3.47 2.56 1.78 0.75 0.22 0.06 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1931 Chinook_1 inriver 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.07 0.26 0.81 2.17 5.35 12.16 25.16 47.1 82.79 141.9 237.72 377.98 574.34 848.31 1207.28 1629.95 2084.47 2560.78 3026.57 3438.88 3909.94 4539.63 5291.68 6078.69 6964.07 7986.86 9296.68 10843.08 13037.23 15742.53 18248.88 21663.48 24570.34 26555.65 30765.89 30747.75 28653.23 24632.98 19257.06 15045.43 11225.03 9714.59 8836.2 8214.44 8206.68 7895 7078.4 5820.15 5400.43 5526.22 5485.04 5681.57 5340.11 4800.98 4023.79 3341.55 2904.61 2176.11 1532.45 961.13 543.21 311.09 250.26 174.12 113.68 73.22 57.68 59.67 55.16 55.08 49.73 39.67 27.82 17.72 13.33 8.64 6.64 5.09 3.61 3.2 2.31 1.26 0.53 0.23 0.16 0.07 0.04 0.02 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1931 Chinook_1 transport 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 511.49 2979.1 2492.49 2893.14 2979.57 2920.84 2852.61 3295.64 3159.89 3491.66 11405.54 16326.84 13991.22 12537.56 10633.28 9585.69 8882.01 8144.9 7601.35 6788.49 6058.23 5698.43 5105.05 4840.78 5503.42 5282.48 5199.51 5096.76 4690.58 4557.35 4094.86 4170.58 4141.26 3805.4 3515.01 2831.73 2239.4 2116.08 1888.42 1575 1267.39 848.94 690.98 623.17 615.94 762.19 664.55 512.69 429.99 377.38 286.1 236.01 258.97 260.27 232.89 251.42 249.41 178.95 143.98 158 162.98 190.94 177.4 119.62 83.58 67.03 85.29 85.67 77.21 80.23 59.98 55.88 39.23 30.89 23.96 21.75 18.13 14.35 11.71 8.56 7.31 6.52 6.2 5.34 5.61 5.33 3.95 3.92 2.96 1.92 1.37 0.63 0.22 0.07 0.02 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1932 Chinook_1 inriver 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.02 0.06 0.18 0.49 1.3 3.34 8.19 18.64 38.73 75.38 139.98 246.99 407.61 619.63 945.12 1413.67 1991.02 2577.48 3103.33 3577.76 4083.23 4677.9 5437.31 6261.52 7052.35 7911.15 8752.29 9727.48 11326.34 13642.72 16888.71 20658.3 24236.26 27208.27 29983.65 31988.75 31638.58 29926.45 27358.44 23999.24 20562.79 17085.86 14076.89 10695.84 8351.26 6804.28 5548.23 4425.49 3496.83 2988.07 2523.07 2288.93 2079.04 1755.27 1395.43 1189.83 1055.87 1159.78 1152.65 1143.99 948.83 763.23 659.03 650.46 545.38 602.21 615.82 634.68 632.58 570.62 528.57 441.52 363.8 285.49 242.64 216 172.5 139.71 121.87 113.71 108.06 88.05 69.42 58.86 55.03 43.36 25.51 9.99 3.01 0.67 0.08 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1932 Chinook_1 transport 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 311.36 7414.08 6649.76 5902.79 4653.32 3972.87 3569.34 3561.12 4074.14 3627.04 8245.72 10406.38 9103.97 7980.62 7378.81 6798.49 6081.87 5492.72 5585.01 6161.7 6561.07 7257.39 7366.77 8332.77 8095.87 7247.21 6547.54 5751.02 5104.7 4404.36 4136.85 3820.28 3291.52 2651.69 2129.9 1755.85 1435.24 1275.45 1192.45 1190.92 1029.21 634.1 474.17 444.93 410.25 392.04 351.48 374.67 376.27 365.99 337.43 249.41 248.68 259.65 224.89 209.54 189.22 165.77 147.82 116.68 117.37 90.15 135.69 177.66 127.06 119.39 85.16 65.8 48.55 46.26 34.21 17.12 12.09 9.57 8.12 6.52 6.46 5.04 5.21 4.71 2.51 3.37 2.68 1.1 0.7 0.23 0.05 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1933 Chinook_1 inriver 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.04 0.14 0.47 1.33 3.24 7.06 14.36 27.27 49.33 86.83 156.71 269.11 428.58 635.73 880.99 1151.42 1447.57 1790.99 2211.59 2736.16 3349.48 4053.21 4847.48 5710.19 6652.43 7824.22 9299.16 11129.91 13206.12 15457.58 18387.53 21246.34 22731.71 23032.35 22290.46 20540.62 18022.21 15478.99 13038.42 10986.98 8644.14 6994.16 6139.34 5601.6 5174.15 4770.34 4646.57 4343.93 4166.28 4098.88 4047.04 4011.33 4245.73 4356.97 4878.08 4728.61 4790.8 3959.41 3444.62 2936.96 2499.83 2036.8 1493.46 1083.13 707.26 497.24 406.64 314.43 209.06 128.65 77.18 50.32 40.76 37.39 31.82 25.48 25.64 29.94 30.79 25.92 18.76 17.1 19.99 19.7 16.03 11.71 8.32 7.45 7.34 7.96 8.18 7.48 6.42 4.79 3.99 2.5 2.15 1.49 1.18 0.96 0.89 0.7 0.54 0.41 0.29 0.23 0.17 0.14 0.1 0.07 0.05 0.03 0.02 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1933 Chinook_1 transport 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 258.21 3357.89 3664.59 4323.43 5277.91 5515.41 5179.79 5003.12 5183.43 5222.06 9040.4 9468.85 8117.12 6756.06 6468.7 5262.92 4313.82 3644.25 3040.74 2675.69 2357.06 2165.34 2061.15 2209.84 2299.21 2493.52 2767.07 2677.13 2663.65 2658.88 2568.43 2387.56 2040.6 1796.12 1898.23 1955.42 2107.45 1854.47 1551.88 1381.48 1649.36 2085.71 2319.84 2016.11 1474.62 1048.76 910.62 861.84 749.29 651.24 702.95 764.57 743.74 624.78 462.82 464.38 505.66 439.47 308.72 196.23 131.57 163.96 184.08 187.31 165.05 138.19 117.4 98.6 107.27 87.39 75.28 52.93 46.09 23.14 18.67 17.23 13.25 11.69 9.96 9.19 7.82 7.21 7.3 5.55 6.5 5.06 2.84 2.04 1.01 0.37 0.14 0.04 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
