Year Species MigrationType 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 241 242 243 244 245 246 247 248 249 250 251 252 253 254 255 256 257 258 259 260 261 262 263 264 265 266 267 268 269 270 271 272 273 274 275 276 277 278 279 280 281 282 283 284 285 286 287 288 289 290 291 292 293 294 295 296 297 298 299 300 301 302 303 304 305 306 307 308 309 310 311 312 313 314 315 316 317 318 319 320 321 322 323 324 325 326 327 328 329 330 331 332 333 334 335 336 337 338 339 340 341 342 343 344 345 346 347 348 349 350 351 352 353 354 355 356 357 358 359 360 361 362 363 364 365
1929 Chinook_1 inriver 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.03 0.07 0.19 0.46 1.02 2.12 3.95 6.84 11.47 19.12 32.07 53.95 89.25 144.04 222.26 335.77 496.48 722.55 1034.12 1442.55 1915.75 2421.99 2954.59 3543.43 4151.59 4797.31 5575.48 6491.72 7476.84 8562.38 9870.45 11377 13026.21 15326.83 18330.6 21001.41 22774.57 23642.93 23521.02 22718.71 20744.01 18207.02 16264.67 14133.31 12194.45 10546.08 8807.3 7519.68 5912.56 4256.68 2951.53 2063.21 1562.63 1076.16 786.49 533.16 366.57 295.31 258.8 222.23 175.34 153.47 142.48 124.04 100.57 84.9 80.99 66.9 37.18 15.93 5.81 1.88 0.65 0.35 0.13 0.02 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1929 Chinook_1 transport 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 325.71 2413.11 1931.24 1930.42 2381.71 2024.18 1727.64 1738.88 1558.35 1728.54 5473.6 5103.28 4202.11 4210.87 4054.96 3928.88 4136.81 3364.26 3398.92 3097.08 3157.82 3053.42 2476.32 2149.72 1724.23 1448.03 1105.22 804.34 718.62 857.53 1046.91 1109.71 1324.96 1267.46 902.93 552.7 454.17 381.44 330.62 243.03 229.82 259.76 218.58 194.29 164.89 140.34 140.82 131.02 92.65 57.48 49.34 58.54 58.06 54.3 50.85 40.37 39.52 35.39 38.64 30.26 18.63 26.77 31.59 28.52 17.85 13.22 10.94 9.22 7.56 6.16 5.48 6.17 6.37 3.05 3.81 3.76 0.79 0.13 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1930 Chinook_1 inriver 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.02 0.06 0.16 0.39 0.86 1.69 3.09 5.54 10.02 18.4 33.93 62.18 110.55 185.41 298.26 463.11 703.82 1052.01 1529.48 2116.76 2766.4 3450.91 4242.08 5116 6054.42 7254.38 8666.83 10016.93 11395.36 12851.96 14227.84 15645.54 18073.44 21471.14 24368.51 26696.33 28147.79 27928.17 25806.71 22618.57 19009.21 15303.4 11724.54 8682.69 6413.23 4477.33 2753.59 1616.64 993.41 747.55 628.31 589.59 574.59 580.82 590.41 632.71 734.18 855.73 961.98 965.2 842.81 738.06 644.31 463.78 248.97 130.65 69.83 23.76 4.19 0.42 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1930 Chinook_1 transport 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 254.09 3204.58 3737.01 2447.91 1874.95 2134.71 1863.19 1535.39 1476.3 1111.59 3525.51 3778.43 3673.27 3910.93 4205.92 4487.65 4600.09 3983.89 4032.39 3541.84 3548.17 3407.04 3105.1 2761.31 2384.83 2097.15 1632.36 1320.98 1013.49 957.13 1108.82 1177.95 1010.17 951.19 782.54 567.4 390.9 396.7 407.49 322.5 231.16 217.56 279.48 296.11 282.6 197.55 154.21 187.19 176.64 117.57 75.61 67.46 59.19 51.93 60.23 56.85 42.77 36.03 28.55 32.36 25.69 41.6 40.15 41.26 35.42 19.42 15.05 14.47 12.35 11.06 10.03 7.83 7.71 9.54 7.15 4.58 3.69 2.32 0.85 0.19 0.05 0.02 0.01 0.01 0.01 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1931 Chinook_1 inriver 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.05 0.15 0.37 0.8 1.6 3.01 5.42 9.47 16.21 27.38 46.06 76.99 127.88 208.23 324.88 487.05 706.13 1009.9 1441.13 2024.81 2731.74 3502.67 4303.65 5176.69 6150.34 7234.19 8469.34 9820.62 11205.02 12706.08 14466.07 16296.35 17781.25 19261.4 20915.18 21971.38 22728.27 23396.07 23420.12 22512.17 20875.23 18785.5 16297.04 13567.11 10728.27 7939.37 5560.74 3638.97 2235.65 1470.14 1101.76 941.89 855.08 793.73 747.73 700.11 783.37 975.38 1101.04 1053.62 975.34 888.64 744.49 574.55 419.53 297.33 208.28 107.12 32.38 5.24 0.5 0.03 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1931 Chinook_1 transport 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 506.67 2900.16 2254.64 2163.11 2608.9 2225.62 1852.16 1785.89 1613.8 1747.26 5556.46 4856.98 3715.39 3691.75 3532.54 3496.95 3465.13 2991.92 3094.75 2949.65 3097.54 2985.72 2390.14 1912.68 1548.72 1322.16 1004.63 746.79 672.39 814.83 996.95 1133.68 1069.84 771.68 474.76 309.61 280.6 323.44 326.11 239.52 225.6 221.26 262.63 205.59 168.96 185.76 199.44 166.88 134.43 96.7 60.93 50.46 62.59 67.53 57.67 53.55 50.29 34.32 25.89 28.64 27.66 27.65 32.87 28.27 13.74 7.79 8.41 9.43 7.71 8.44 7.31 6.28 5.4 3.2 2.51 2.42 1.49 0.51 0.08 0.02 0.03 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1932 Chinook_1 inriver 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.02 0.06 0.17 0.41 0.91 1.86 3.52 6.22 10.61 17.52 28.33 45.46 72.12 112.35 170.56 253.71 372.15 533.13 740.08 991.33 1284.52 1619.32 1999.37 2418.94 2869.32 3365.39 4002.43 4835.44 5810.51 7049.86 8441.68 10051.22 11955.9 13886.01 15544.42 16779.99 17602.88 17902.11 18056.86 17797.33 16949.85 15990.52 15105.69 14447.63 13867.23 13170.61 12390.76 11172.85 9276.15 7023.12 5169.35 4082.04 3545.93 3092.27 2467.08 1822 1320.44 987.42 765.86 549 326.19 178.73 104.57 56.49 25.5 11.27 5.64 2.75 1.37 0.79 0.47 0.3 0.25 0.26 0.26 0.29 0.5 0.88 1.2 1.42 1.28 1.59 2.23 2.13 1.76 1.27 0.89 0.64 0.43 0.22 0.1 0.04 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1932 Chinook_1 transport 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 148.85 1996.61 1556.6 1226.99 1602.92 1556.3 1824.25 1648.52 1275.42 1300.51 3185.99 3227.29 2817.36 2577.87 2374.61 2061.81 1807.24 1649.84 1519.29 1395.3 1269.18 1419.22 1638.9 1999.26 2030.97 1923.07 1493.98 936.98 653.9 647.45 700.9 649.32 585.08 605.26 610.24 388.4 251.15 145.01 118.96 149.92 150.23 104.17 91.25 74.33 75.37 71.96 76.96 76 63.95 58.39 46.42 49.54 42.89 36.3 29.83 31.53 27.79 19.05 13.73 10.93 9.44 7.33 11.6 11.92 10.36 9.71 5.95 5.28 5.2 2.01 0.34 0.02 0.01 0.01 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1933 Chinook_1 inriver 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.03 0.09 0.21 0.46 0.91 1.7 3.1 5.55 9.78 16.92 28.98 49.66 84.15 139.46 222.36 338.46 490.14 684.19 940.47 1292.91 1776.64 2428.44 3161.05 3993.11 4835.89 5715.85 6695.39 7640.73 8392.15 9123.09 10080.98 11289.27 12715.81 14117.55 15289.03 16351.59 16997.76 17082.14 16840.74 16105.82 14784.17 12987.02 10694.04 8014.21 5395.01 3270.85 1869.47 1004.4 496.28 231.82 115.01 66.85 43.3 29.45 20.73 16.92 16.96 21.14 27.82 33.51 38.76 47.85 59.72 68.64 71.33 73.72 77.56 76.37 69.46 53.49 31.67 15.27 6.72 2.93 1.01 0.35 0.15 0.06 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1933 Chinook_1 transport 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 186.25 2842.08 2704.31 2174.22 2328.15 1944.14 1813.62 1685.19 1821.21 1900.75 4503.02 5189.58 4774.86 4554.83 4118.59 3531.17 3110.55 2658.15 2319.33 1895.27 1472.4 1179.46 969.03 859.29 783.39 841.15 909.39 1008.24 1009.76 1073.9 909.51 698.27 526.13 475.78 496.85 463.25 371.18 342.03 372.88 370.95 382.08 367.35 309.23 302.51 270.33 182.91 118.84 93.39 94.69 95.44 95.22 96.99 75.85 67.48 60.77 53.99 49.24 34.82 26.23 27.56 22.54 14.61 9.89 10.53 9.35 8.25 7.76 7.45 7.44 7.95 5.52 5.83 7.77 2.86 1.64 0.42 0.09 0.02 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
