Year Species MigrationType 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 241 242 243 244 245 246 247 248 249 250 251 252 253 254 255 256 257 258 259 260 261 262 263 264 265 266 267 268 269 270 271 272 273 274 275 276 277 278 279 280 281 282 283 284 285 286 287 288 289 290 291 292 293 294 295 296 297 298 299 300 301 302 303 304 305 306 307 308 309 310 311 312 313 314 315 316 317 318 319 320 321 322 323 324 325 326 327 328 329 330 331 332 333 334 335 336 337 338 339 340 341 342 343 344 345 346 347 348 349 350 351 352 353 354 355 356 357 358 359 360 361 362 363 364 365
1929 Chinook_1 inriver 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.06 0.17 0.48 1.22 2.67 5.29 9.71 16.75 27.57 44.19 69.87 109.17 167.58 251.19 367.32 524.13 728.34 980.55 1274 1600.64 1954.22 2330.93 2732.61 3170.55 3643.81 4136.37 4634.83 5137.57 5692.6 6349.17 7126.97 7971.37 8781.93 9555.79 10241.38 10789.88 11212.33 11498.49 11640.45 11507.95 11059.79 10317.82 9459.91 8743.53 8280.59 7862.22 7280.84 6546.08 5759.27 4961.09 4225.01 3608.16 3044.83 2511.97 2053.44 1616.2 1230.55 958.98 772.03 594.23 436.34 323.65 239.76 172.83 128.58 99.56 73.91 53.58 41.71 35.59 30.76 27.37 24.62 20.65 14.75 8.21 3.36 0.97 0.19 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1929 Chinook_1 transport 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 154.85 1043.54 1011.65 1344.77 1697.3 1854.91 1656.07 1878.39 1937.46 2123.01 3989.75 5658.07 5558.18 5736.82 5605.87 5334.57 5060.47 4803.2 4488.6 4081.15 3722.82 3712 3355.96 3139.49 3080.44 2837.68 2663.37 2465.49 2436.82 2284.89 2455.52 2738.57 3152.35 3725.48 3604.95 3216.84 2641.12 2060.23 1739.95 1401.89 1232.85 1207.72 1040.52 844.19 696.7 668.41 611.13 568.27 528.81 590.15 480.63 394.61 341.51 325.32 270.7 218.11 189.47 227.75 219.12 178.43 142.78 201.63 304.94 286.82 193.59 136.61 107.56 88.92 77.88 62.04 62.57 43.13 31.56 33.29 22 24.66 16.79 13.22 10.99 11.96 7.99 4.5 4.48 3.36 2.93 2.38 2.33 1.89 2.04 1.86 1.07 1.47 1.14 0.48 0.39 0.2 0.08 0.03 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1930 Chinook_1 inriver 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.03 0.12 0.4 1.21 2.95 6.09 11.41 20.55 36.1 61.17 99.23 153.81 227.52 321.94 440.6 590.27 776.42 998.88 1251.41 1531.16 1835.17 2160.43 2503.55 2864.92 3244.3 3649.76 4092.45 4570.63 5090.22 5620.52 6142.65 6684.08 7242.15 7843.4 8432.42 8970.63 9458.12 9898.93 10347.47 10718.43 10941.61 10910.05 10728.79 10628.21 10661.71 10510.94 9947.03 9014.68 7872.01 6601.21 5347.81 4191.74 3050.26 1976.71 1180.11 692.04 406.09 248.28 160.98 106.25 71.18 50.01 36.21 25.66 18.02 12.59 8.26 5.17 3.34 2.26 1.5 0.98 0.64 0.39 0.24 0.17 0.13 0.11 0.11 0.13 0.16 0.2 0.24 0.29 0.32 0.33 0.32 0.27 0.2 0.12 0.08 0.05 0.04 0.03 0.02 0.02 0.01 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1930 Chinook_1 transport 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 89.32 1281.4 1501.14 1595.92 2221.4 2920.77 3325.8 2805.51 3119.5 3041.49 4421 5200.95 5600.91 5659.84 5776.37 5480.1 5222.1 4965.18 4648.33 4431.49 3989.5 3628.1 3689.99 3305.82 3082.35 3010.32 2805.85 2643.77 2482.25 2357.81 2189.6 2362.58 2315.34 2169.14 2139.16 1954.41 1811.23 1697.55 1625 1569.32 1380.17 1215.17 1088.7 851.91 699.24 582.67 534.05 470.87 453.07 416.92 423.48 331.87 282.88 239.17 213.69 178.03 140.02 114.26 118.7 115.48 103.24 140.23 159.15 159.48 142.17 104.2 87.26 72.97 61.03 53.61 44 42.6 38.92 37.75 38.82 28.65 28.3 21.44 17.44 15.04 14.95 10.94 7.67 7.08 5.46 4.39 3.46 3.18 2.65 2.61 2.32 1.65 1.88 1.46 0.91 0.77 0.48 0.25 0.12 0.05 0.02 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1931 Chinook_1 inriver 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.03 0.12 0.42 1.27 3.09 6.35 11.85 21.25 37.25 62.8 100.85 154.45 226.44 318.05 430.29 565.34 726.72 916.13 1129.68 1364.61 1620.04 1897.13 2197.08 2532.96 2898 3291.59 3708.57 4153.3 4666.69 5280.96 6000.73 6803.39 7632.48 8523.75 9399.87 10179.93 10861.9 11470.87 12066.92 12508.85 12708.34 12510.29 12054.27 11746.03 11701.15 11451.73 10676.91 9518.29 8197.97 6783.93 5478.36 4341.5 3204.18 2093.62 1242.24 725.08 430.79 273.64 185.24 125.07 83.61 58.64 42.21 29.52 20.61 14.56 9.72 6.21 4.11 2.84 1.9 1.26 0.85 0.54 0.31 0.16 0.08 0.03 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1931 Chinook_1 transport 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 171.7 981.96 1056.5 1008.38 1282.64 1575.93 1707.69 1516.39 1691.31 1807 3772.54 5323.02 5897.56 5944.21 6069.66 5753.9 5514.74 5388 5041.46 4807.05 4258.72 3835.54 3920.8 3586.49 3425.28 3394.18 3179.32 2928.38 2629.41 2479.18 2243.35 2295.28 2251.67 2123.69 2188.52 2046.29 1925.49 1828.16 1722.31 1594.47 1339.29 1130.91 968.96 775.18 633.66 534.84 494.16 438.7 416.77 380.28 367.95 305.36 274.45 241.87 214.06 188.52 160.31 136.46 133.75 121.36 113.06 118 112.49 112.84 104.95 82.27 73.22 62.62 53.56 50.96 44.5 46.96 33.88 26.17 24.69 18.53 19.33 15.07 13.06 11.41 11.43 8.47 6.06 5.82 4.52 3.78 3.07 2.92 2.42 2.53 2.3 1.53 2 1.62 0.79 0.68 0.43 0.23 0.11 0.05 0.02 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1932 Chinook_1 inriver 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.06 0.19 0.54 1.34 2.96 6.05 12 25.75 54.2 102.58 174.08 274.84 413.89 595.47 814.8 1061.46 1322.09 1582.54 1828.15 2062.23 2299.87 2561.4 2871.61 3233.9 3642.28 4087.59 4567.1 5108.04 5746.06 6483.62 7270.64 8058.48 8826.27 9585.24 10351.76 11088.63 11639.73 11888.06 11783.06 11397.5 10652.79 9618.89 8449.75 7232.54 6042.91 4935.92 3952.39 3103.15 2449.02 1998.41 1720.83 1538.63 1399.23 1263.6 1151.52 1074.34 1040.44 1028.11 1045.01 1083.59 1131.62 1159.68 1172.71 1160.11 1107.34 1024.02 906.6 761.87 612.7 477.99 365.63 276.09 208.51 161.27 129.97 106.52 86.47 70.24 53.28 32.87 15.05 4.73 0.92 0.09 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1932 Chinook_1 transport 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 163.18 3188.99 3406.67 2474.63 2515.66 2392.97 2267.28 2252.23 2874.84 2777.93 4597.21 5780.04 5394.28 5229.76 5090.85 5424.3 5368.07 4757.81 5103.12 4857.08 4746.65 4738.19 4507.78 4469.23 4159.65 3955.97 3680.07 3775.54 3302.43 3015.9 3230.55 3086.14 3139.23 2947.04 2769.06 2173.91 1567.17 1369.26 1204.66 969 830.78 679.9 628.89 560.87 526.52 477.85 504.3 418.6 363.91 324.76 325.97 289.56 242.68 210.48 239.82 243.16 222.72 204.73 174.57 181.66 172.41 121.47 141.9 151.33 127.42 114.47 90.41 87.69 60.73 43.47 42.02 26.11 28.14 20.76 15.51 12.85 14.6 9.15 4.35 4.72 3.63 3.19 2.5 2.56 2.04 2.31 2.08 1 1.68 1.28 0.32 0.25 0.11 0.04 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1933 Chinook_1 inriver 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.04 0.13 0.33 0.85 2.14 5.07 10.49 19.56 34.84 60.48 101.19 161.67 247.86 367.48 528.5 735.69 989.36 1283.19 1608.31 1958.96 2331.84 2731.02 3147.91 3563.68 3959.96 4317.2 4621.39 4878.69 5099.43 5291.88 5429.97 5493.07 5530.32 5609.71 5729.97 5795.6 5781.66 5725.23 5675.9 5598.97 5502.09 5397.69 5291.64 5210.02 5160.41 5117.3 4997.98 4803.36 4599.57 4449.84 4292.4 4066.03 3667.55 3168.77 2670.05 2261 1944.61 1672.92 1394.66 1113.68 867.94 657.41 486.34 354.4 256.63 182.88 129.22 91.08 63.85 45.75 35.7 31.35 29.4 27.1 23.15 18.11 13.84 11.34 9.92 8.99 8.2 7.72 7.52 7.46 7.59 7.94 8.22 8.05 7.4 6.52 5.38 4.13 2.93 2.03 1.41 1.03 0.75 0.53 0.37 0.25 0.17 0.1 0.07 0.05 0.03 0.02 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1933 Chinook_1 transport 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 124.03 1426.96 1911.24 2420.9 2298.18 2889.62 2900.94 3019.87 3332.18 4238.18 5467.35 5887.18 5415.24 4999.12 4702.41 4368.01 4098.23 3585.89 3194.11 3202.11 2815.22 2508.61 2354.35 2121.12 1940.99 1870.54 1915.41 1834.52 1959.46 1910.24 1805.83 1823.22 1729.77 1681.6 1697.19 1697.45 1809.89 1693.76 1486.95 1467.13 1451.74 1496.3 1324.51 1333.77 1248.2 1138.02 986.93 944.99 734.6 623.74 506.12 417.3 366.31 301.84 247.15 268.46 263.93 242.82 210.78 150.66 145.93 158.56 151.41 120.62 103.36 82.53 69.87 61.23 68.21 57.56 50.61 57.24 47.37 39.33 29.42 23.79 20.31 19.41 14.64 11.08 10.09 8.13 7.57 6.24 5.62 4.41 4.28 3.69 2.22 2.74 2.14 1.03 0.83 0.51 0.27 0.13 0.06 0.02 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
