Year Species MigrationType 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 241 242 243 244 245 246 247 248 249 250 251 252 253 254 255 256 257 258 259 260 261 262 263 264 265 266 267 268 269 270 271 272 273 274 275 276 277 278 279 280 281 282 283 284 285 286 287 288 289 290 291 292 293 294 295 296 297 298 299 300 301 302 303 304 305 306 307 308 309 310 311 312 313 314 315 316 317 318 319 320 321 322 323 324 325 326 327 328 329 330 331 332 333 334 335 336 337 338 339 340 341 342 343 344 345 346 347 348 349 350 351 352 353 354 355 356 357 358 359 360 361 362 363 364 365
1929 Chinook_1 inriver 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.05 0.16 0.47 1.22 2.82 5.79 11.09 20.16 35.72 62.03 104.19 165.97 255.35 384.11 560.85 775.28 1028.03 1344.91 1737.78 2193.23 2711.17 3314.44 3998.36 4771.23 5880.34 7490.23 9352.75 11320.31 13467.62 15881.09 18948.08 22232.19 25558.68 29510.54 32335.71 34245.33 35350.23 34390.02 33841.02 30741.36 25595.47 19926.63 14882.53 11823.44 9247.26 8161.52 6839.63 5717.81 5151.13 4895.45 4924.04 4879.42 5007.04 5128.88 5120.35 4656.77 3858.25 3561.77 3482.53 2724.83 1803.25 1314.78 1057.16 792.12 724.5 722 630.59 603.09 529.81 343.31 214.06 182.98 156.08 113.41 95.5 93.46 82.63 84.54 95.14 75.87 41.99 37.36 57.41 42.7 20.35 9.11 2.91 0.63 0.1 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1929 Chinook_1 transport 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 457.43 3389.29 3108.16 4297.14 4096.42 3892.09 3574.35 3363.33 3314.58 3940.58 12510.33 11447.9 8639.86 7614.33 6523.62 6019.65 5973.11 4659.04 4622.28 4005.75 4247.31 4298 4435.45 4824.79 4335.7 4022.45 3351.67 2825.85 2561.96 2828.94 3120.36 2928.01 3000.31 2997.56 2512.91 1708.24 1142 960.71 953.49 936.72 885.29 818.3 616.05 486.94 415.02 368.04 313.45 268.52 218.07 221.95 290.69 302.08 247.75 152.99 157.13 197.01 182.34 139.54 105.82 77.58 61.72 109.87 131.62 124.08 108.66 107.03 80.1 73.45 64.36 44.92 35.79 42.51 42.74 26.2 19.79 15.96 12.84 11.19 9.72 8.82 10.83 10 5.7 4.56 4.38 3.05 1.4 0.3 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1930 Chinook_1 inriver 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.03 0.09 0.27 0.69 1.63 3.62 7.93 17.13 36.67 76.86 153.14 280.43 468.54 726.24 1070.56 1486.26 1960.98 2566.55 3314.38 4115.84 4992.64 5940.97 6846.99 7736.86 9218.15 11576.81 14257.55 17332.77 20842.85 24427.29 27636.78 30607.18 33046.28 34218.45 33921.73 32602.07 30625.54 27281.12 22024.97 16895.82 12736.28 10501.26 8971.79 8325.42 7674.78 7040.02 6279.73 5630.72 5431.54 5478.47 5714.4 5849.17 5719.5 5726.4 5895.92 5412.24 4333.37 3782.62 3495.35 2740.35 1822.12 1251.02 810.15 466.7 314.59 249.79 202.42 176.89 149.69 107.67 72.58 57.21 46.85 33.79 26.11 23.4 17.48 15.29 16.12 12.68 7.17 3.9 4.13 4 3.23 2.71 2.17 1.57 1.32 1.44 1.48 1.34 1.39 1.51 1.33 1.24 1.08 0.64 0.32 0.24 0.18 0.14 0.09 0.09 0.07 0.05 0.05 0.04 0.03 0.03 0.02 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1930 Chinook_1 transport 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 351 4455 5031.56 4518.62 3878.15 3453.22 3226.05 2823.67 2695.31 2278.25 7292.25 7973.92 7041.62 7361.96 6872.16 6710.09 6511.96 5052.48 5066.05 4321.06 4544.63 4532.07 4718.03 4914.54 4941.48 4870.6 4064.67 3578.9 3216.04 3200.08 3498.27 3034.9 2331.5 1918.06 1595.59 1316.37 997.22 1024.91 1085.88 1021.97 920.96 841.88 777.68 631.07 566.85 485.03 405.21 384.43 316.09 282.85 319.7 370.24 291.6 195.65 190.67 216.58 199.33 135.06 98.15 89.09 74.54 149.54 183.75 165.08 126.06 98.79 91.46 98.89 79.27 65.62 49.8 38.25 39.38 39.54 26.91 15.64 12.24 11.06 9.42 9.12 10.94 10.1 6.47 5.08 4.47 3.57 2.23 0.73 0.21 0.03 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1931 Chinook_1 inriver 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.04 0.13 0.34 0.84 1.91 4.05 8.28 16.77 33.93 68.93 138.82 265.88 465.43 738.42 1079.6 1492.12 1972.08 2517.28 3153.2 3890.48 4707.77 5630.55 6701.67 7815.07 8782.5 9871.25 11345.67 12897.44 14698.49 16963.63 19554 22392.64 25640.44 29379.28 33113.32 36241.59 37765.05 36339.23 32953.27 28487.06 22597.03 16903.08 12527.84 9958.83 8485.91 7374.94 6411.99 5414.45 5230.67 5870.8 6562.88 7063.3 7031.37 6421.8 5858.08 5567.98 5192.33 4350.55 3888.34 3018.58 2061.2 1400.7 984.27 621.61 431.97 395.23 324.49 213.63 154.18 123.51 72.86 52.31 53.78 52.67 39.07 28.01 26.25 22.94 19.67 17.68 13.16 7.16 4.6 4.91 3.65 2.09 1.1 0.53 0.25 0.1 0.06 0.04 0.02 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1931 Chinook_1 transport 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 685.48 4004.06 4204.4 4315.53 4246.27 3872.2 3393.88 3279.94 3317.2 3977.08 11632.62 9892.14 7155.16 6100.53 5222.74 4747.97 4429.36 3733.25 3796.25 3775.86 4128.02 4501.68 4296.44 4187.01 3734.62 3309.72 2745.91 2451.85 2349.36 2516.12 2500.17 2494.31 2104.06 1576.45 1138.86 806.52 716.95 858.16 1029.64 959.4 872.62 558.03 507.78 383.5 402.35 464.56 413.58 310.54 321.85 369.04 312.37 253.66 266.91 235.45 216.94 241.38 224.85 128.31 80.06 93.43 100.34 132.65 157.64 119.82 80.28 59.9 76.91 74.57 61.22 55.69 49.85 35.71 23.4 15.67 10.96 10.25 9.37 8.47 7.71 7.82 7.38 6.27 5.61 4.58 3.59 2.09 0.56 0.11 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1932 Chinook_1 inriver 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.05 0.15 0.37 0.83 1.75 3.55 6.95 13.18 24.33 43.86 77.41 133.31 221.72 352.75 538.63 797.85 1164.03 1649.97 2214.78 2877.64 3602.25 4454.66 5486.06 6607.64 7753.81 8935.68 10242.78 11656.47 13420.17 15371.59 17362 19740.16 22637.38 26178.8 30086.78 33890.31 37610.54 40078.26 39464.5 35286.36 29572.26 24557.02 20798.82 17876.38 15059.96 12079.25 9444.45 7519.61 6435.8 5926.11 5566.95 5173.5 4779.97 4272.9 3469.69 2638.97 2080.8 1637.57 1288.72 985.76 810.77 749.79 658.99 551.18 469.9 461.71 534 618.86 709.67 593.61 398.7 336.04 380.85 341.79 276.23 218.26 230.18 281.43 279.95 212.8 143.55 116.94 114.91 100.71 75.23 50.14 36.48 31.13 29.23 28.81 23.1 12.82 6.35 2.35 0.55 0.07 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1932 Chinook_1 transport 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 301.56 4193.68 3512.84 2967.99 3006.67 2465.84 3050.85 2492.7 1841.09 1759.28 4566.1 4444.28 3734.09 3431.95 3297 3693.22 4195.8 4159.21 4184.15 4205.45 4401.77 4897.1 5327.2 5927.61 5385.53 4301.29 3519.37 2574.21 2009.53 1710.39 1842.86 1986.4 2238.98 2072.28 1853.46 1010.56 612.64 365.12 296.05 311.13 293.77 224.74 299.4 342.66 366.65 323.82 236.65 225.38 249.04 234.52 192.3 144.48 110.52 103.03 101.88 118.56 110.94 99.12 92.49 67.77 64.35 48.33 70.68 64.98 56.74 47.72 31.04 21.91 18.51 17.05 13.94 11.57 9.2 9.71 8.32 4.61 5.73 4.56 1.93 1.04 0.27 0.06 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1933 Chinook_1 inriver 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.04 0.11 0.29 0.71 1.64 3.59 7.68 16.21 33.69 67.54 129.07 233.51 397.14 611.95 885.52 1204.87 1582.5 2036.41 2519.36 2963.51 3412.11 3964.87 4683.42 5644.42 6820.36 8142.84 9750.57 11600.63 13734.69 16588.95 20274.19 24543.59 28928.38 32416.85 34196.86 34125.17 31551.81 27625.47 22940.17 18276.82 14261.98 10823.55 8150.59 6450.2 5456.81 4579.44 3835.45 3324.54 3237.59 3404.59 3709.42 4100.63 4358.86 4487.17 4527.26 4306.62 3873.5 3526.35 3294.45 3065.37 2573.47 2069.85 1692.33 1229.51 983.62 896.76 882.73 747.37 591.92 411.38 251.57 169.2 123.29 88 73.4 79.7 76.59 65.93 48.39 34.71 41.22 50.89 43.09 28.55 19.45 17.1 16.83 16.67 20.39 16.1 12.91 13.36 11.06 11.19 9.73 7.75 6.55 6.61 4.46 2.03 0.71 0.41 0.4 0.4 0.4 0.38 0.3 0.24 0.23 0.19 0.14 0.11 0.08 0.04 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1933 Chinook_1 transport 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 351.35 4898.36 5215.44 4537.96 4510.69 4136.16 4130.72 4120.51 3438.93 3039.37 8389.37 8599.58 7487.01 6724.92 5847.76 4877.54 4081.52 3644.98 3316.99 3535.98 3341.53 2817.05 2738.58 2577.17 2651.18 2895.42 3078.37 3103.47 2809.57 2474.79 2253.28 1824.65 1549.08 1277.36 1384.38 1348.49 1340.08 1204.13 1196.07 1003.64 976.42 963.95 791.2 663.1 540.8 425.08 422.76 517.65 502.21 403.06 294.29 284.49 346.2 325.39 237.49 159.53 118.74 110.65 107.31 109.6 93.68 82.36 76.07 69.22 59.15 57.53 43.67 35.02 37.14 35.98 23.03 18.61 20.35 13.38 12.6 12.22 10.57 11.24 10.62 8.87 7.92 5.61 3.93 3.18 1.49 0.49 0.12 0.03 0.01 0.01 0.01 0.01 0.02 0.02 0.02 0.01 0.02 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
