Year Species MigrationType 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 241 242 243 244 245 246 247 248 249 250 251 252 253 254 255 256 257 258 259 260 261 262 263 264 265 266 267 268 269 270 271 272 273 274 275 276 277 278 279 280 281 282 283 284 285 286 287 288 289 290 291 292 293 294 295 296 297 298 299 300 301 302 303 304 305 306 307 308 309 310 311 312 313 314 315 316 317 318 319 320 321 322 323 324 325 326 327 328 329 330 331 332 333 334 335 336 337 338 339 340 341 342 343 344 345 346 347 348 349 350 351 352 353 354 355 356 357 358 359 360 361 362 363 364 365
1929 Chinook_1 inriver 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.06 0.18 0.46 1.04 2.17 4.2 7.97 15.1 28.31 51.43 89.41 150.01 243.48 385.74 598.96 912.26 1335.8 1838.68 2418.9 3114.49 3956.79 5136.11 6582.02 8152.3 9855.38 11665.68 13412.91 14671.65 15952.71 17913.29 20013.62 21578.56 22408.72 21813.21 20916.72 21850.88 24963.15 26704.19 25102.63 23021.26 19878.88 16543.24 14810.94 14596.24 13554.52 12008.12 11984.72 8794.26 7242.22 7223.63 6871.35 6147.03 6482.29 7013.25 6688.84 6090.12 6221.53 6346.03 5039.88 4986.04 4492.63 3740.86 2870.65 2573.14 2463.98 1846.39 1750.23 1474.4 1213.66 1161.17 1078.56 1130.53 855.48 616.61 413.46 237.27 154.02 120.12 101.17 79.01 66.02 60.3 53.64 44.21 41.01 40.18 35.94 31.94 28.66 26.92 23.99 21.11 20.07 20.63 19.9 18.9 18.48 16.8 16.62 17.31 15.69 14.13 13.41 11.63 9.68 8.33 7.22 6.15 5.4 4.82 4.13 3.52 3.13 2.94 2.79 2.34 1.74 1.41 1.02 0.68 0.46 0.26 0.14 0.07 0.04 0.02 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1929 Chinook_1 transport 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 88.72 647.81 739.2 903.54 1043.17 987.09 1091.78 1296.75 1530.91 1971.48 4189.24 7002.1 8095.75 9162.03 8902.01 9114.33 9003.86 8917.57 8282.32 8751.11 8543.55 8882 8823.09 8903.99 9535.72 10074.58 10674.92 10000.14 8180.62 7336.5 6359.3 7508.85 9753.02 10585.73 9930.67 7745.75 5724.25 4174.65 4282.99 4450.82 4521.05 5194.69 4657.87 3549.35 3400.05 3845.57 3717.33 2988.53 3015.72 2965.52 2130.68 1709.54 1746.72 1573.75 1319.2 1343.92 1331.48 1310.34 933.55 905.29 722.78 1498.91 1743.2 1179.08 770.31 753.76 821.44 775.2 656.62 586.85 546.44 403.51 270.89 253.55 209.06 155.17 130.43 108.79 105.03 91.42 88.57 86.58 61.13 56.97 46.76 40.16 34.4 32.89 28.08 21.74 18.98 14.43 10.77 8.79 8.65 7.27 6.76 6.17 4.71 4.54 3.43 2.45 1.9 1.25 0.78 0.44 0.24 0.13 0.07 0.04 0.02 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1930 Chinook_1 inriver 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.03 0.11 0.35 0.94 2.22 4.59 8.55 15.04 26.42 47.35 85.6 152.22 259.91 425.09 666.36 1017.67 1500.72 2109.96 2850.41 3713.23 4712.78 5839.95 7019.24 8319.16 9403.39 10141.96 10722.91 11225.35 11632.99 11761.54 12211.95 13576.14 15372.26 17113.84 18504.69 18669.55 18384.72 19716.86 23025.33 25147.13 24429.75 23400.59 21001.91 18249.19 17033.94 17508.78 16977.57 15678.41 14881.51 11640.95 9623.88 9394.75 8890.64 7138.06 6728.44 6862.29 6316.6 5649.54 5736.31 6143.11 5015.12 4913.81 4835.06 4297.88 3485.6 3207.01 3223.67 2509.08 2246.18 1961.01 1524.82 1376.65 1326.93 1456.76 1332.19 1170.71 1025.17 713 581.05 542.44 479.91 388.26 331.71 308.17 297.03 271.81 287.99 283.33 237.49 206.77 186.01 182.53 162.83 140.12 123.41 112.36 94.56 83.82 77.87 65.12 62.23 60.56 49.55 42.49 38.15 30.79 24.9 21.05 17.69 13.9 11.55 10.11 8.26 6.8 5.94 5.56 5.27 4.41 3.3 2.77 2.11 1.55 1.16 0.74 0.44 0.26 0.14 0.08 0.05 0.03 0.02 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1930 Chinook_1 transport 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 60.45 1093.03 1263.96 1728.49 2216.61 2222.21 2393.12 2712.3 3120.52 3581.59 4961.69 6054.71 6795.49 7866.06 7973.66 8418.99 8766.91 8759.65 8159.16 8682.39 8161.65 8300.08 8036.95 7609.73 7998.12 8596.37 9115.16 8753.38 7371.96 6452.22 5378.07 5676.19 6122.68 5659.85 5006.67 4243.89 3635.35 3105.18 3529.51 4095.99 4429.24 4448.55 3421.25 2641.57 2546.77 2757.74 2615.79 2150.9 2094.57 2030.47 1500.17 1205.26 1195.54 1110.65 882.81 839.67 757.82 715.15 550.2 554.89 494.55 965.02 1077.22 741.52 504.9 450.01 456.31 417.54 386.5 370.58 328.07 261.78 240.73 255.79 224.08 167.45 132.74 106.55 94.59 84.61 83.17 80.64 60.17 55.74 46.83 40.37 35.07 32.78 28.4 22.59 19.83 15.41 11.5 9.33 8.77 7.29 6.7 6.11 4.83 4.7 3.71 2.65 2.12 1.54 1.07 0.67 0.4 0.23 0.14 0.09 0.05 0.03 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1931 Chinook_1 inriver 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.04 0.14 0.42 1.1 2.51 5.11 9.35 15.73 25.25 40.13 64.27 102.22 158.58 242.09 364.34 546.37 812.44 1205.47 1727.97 2305.58 3048.91 4013.4 5215.2 7165.58 9306.69 11526.2 13987.59 15805 17249.14 17468.1 18022.89 19562.22 20559.98 21204.11 21611.63 20491.7 19785.52 20882.58 23858.94 23894.64 21943.35 19720.96 16549.44 14302.02 13529.17 14003.64 13230.09 12533.32 10737.02 8303.69 6916.21 6826.67 6680.68 5474.67 5185.03 5222.73 4748.62 4248.31 4470.84 4984.87 4302.68 4625.93 4635.71 4370.89 3734.64 3595.68 3731.69 2904.62 2711.5 2212.57 1681.77 1474.06 1321.65 1428.27 1276.07 1202.48 1060.62 747.28 677.16 545.9 426.22 374.37 323.95 294.74 262.78 241.84 212.36 183.86 173.6 148.93 135.55 123.42 102.49 88.53 77.88 69.86 63.21 59.33 56.3 49.67 45.61 42.71 36.61 31.89 29.13 25.07 21.51 17.2 14.59 13.57 11.43 10.09 8.65 7.17 6.51 5.39 4.64 4.07 3.65 2.92 2.24 1.63 1.04 0.61 0.38 0.24 0.13 0.07 0.05 0.03 0.02 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1931 Chinook_1 transport 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 118.3 700.37 782.26 896.61 1023.15 983.27 1056.64 1214.07 1425.01 1755.73 4548.88 8075.92 9318.58 10385.43 10404.5 10430.9 10948.01 11127.5 10195.2 10745.31 9964.44 10256.52 9997.35 9849.62 10866.28 11887.09 12479.06 11366.68 8733.1 7247.11 5700.44 5912.69 6764.07 6387.07 5898.54 5033.73 4314.18 3704.16 4162.92 4644.66 4731.76 3856.66 2329.1 1907 1878.12 2054.82 2039.2 1777.13 1732.43 1637.63 1273.58 1053.86 1043.92 980.76 859.88 873.78 856.14 784.65 622.64 613.65 576.77 664.83 666.89 528.1 407.7 378.01 408.45 395.34 374.03 363.49 359.27 322.34 234.21 182.93 150.69 127 109.91 91.57 89.41 78.74 71.81 71.88 59.14 58.86 49.74 43.6 37.42 33.95 26.01 19.78 17.72 14.45 11.77 9.71 9 7.55 7.11 6.5 4.72 5.34 4.21 2.53 2.26 1.76 1.31 0.91 0.57 0.36 0.2 0.12 0.07 0.04 0.02 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1932 Chinook_1 inriver 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.03 0.11 0.34 0.89 2.05 4.21 7.91 14.19 24.87 42.89 72.94 119.77 188.75 287.23 425.8 616.41 883.96 1251.12 1744.68 2373.18 3097.8 3921.33 4949.12 6259.39 7703.71 9192.45 10783.74 12388.46 14097.03 16016.35 18334.69 19881.44 20589.66 21494.41 22337.28 22241.41 21161.89 20536.79 19657.89 18527.13 17696.5 16310.31 14349.85 12859.19 11651.82 11332.33 10886.96 10561.68 9287.47 8199.6 7415.91 6702.84 5569.34 5596.01 5882.27 5851.52 6127.19 5822.42 5304.41 4959.56 4780.97 4472.94 4186.75 4233.71 4078.83 3835.22 3687.52 3362.65 3012.5 2561.97 2163.84 1911.07 1750.61 1685.32 1706.74 1563.54 1316.02 1094.26 838.26 618.11 462.96 333.05 224.66 162.71 123.29 93.1 70.88 53.31 40.98 33.84 27.81 21.63 17.45 13.88 11.82 11.45 10.94 10.34 9.82 9.15 8.44 7.95 7.56 6.83 6.26 5.99 5.46 4.89 4.55 4.12 3.69 3.29 3.12 3.09 3.06 3.08 2.95 2.57 2.2 1.76 1.29 0.92 0.63 0.39 0.23 0.13 0.07 0.04 0.02 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1932 Chinook_1 transport 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 102.06 2147.65 2251.65 2326.73 2334.71 2452.25 2192.95 2872.04 4120.6 4885.03 7717.14 10954.99 11402.11 11718.98 11937.38 14014.53 14076.99 13321.97 12742.6 13134.62 13543.42 13235.66 13580.79 13914.11 13168.25 13042.04 11267.74 9620.37 8364.21 7616.36 7618.14 7211.72 7394.42 6770.26 7159.64 6194.46 5557.92 5881.16 4634.56 3849.98 3730.49 3037.01 2333.29 1925.53 1714.68 1769.99 1591.57 1381.32 1176.59 1183.18 1120.02 1046.07 950.84 1020.82 870.76 826.16 812.56 856.04 768.03 598.18 459.39 442.83 708.61 876.85 765.6 620.09 623.64 575.15 400.77 304.57 248.25 174.83 140.39 122.04 123.39 97.1 80.96 81.85 60.35 63.99 48.32 41.88 36 34.98 27.29 20.37 18.9 14.84 11.84 9.01 7.93 6.66 6.61 6.02 4.25 4.84 3.75 2.32 2.01 1.4 0.81 0.45 0.23 0.11 0.06 0.03 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1933 Chinook_1 inriver 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.03 0.1 0.27 0.67 1.46 3 5.96 11.53 21.54 38.96 68.8 119.71 204.09 339.42 549.15 856.19 1275.53 1806.02 2478.61 3314.15 4239.94 5190.55 6204.97 7238.19 8229.85 9264.05 10420.02 11795.04 12758.75 13379.91 14395.66 15898.34 17325.75 18167.1 19155.81 19916.84 20453.14 21326.02 21628.03 20979.11 20556.12 20268.27 21117.34 21350.76 21171.18 19087.82 17151.26 16235.68 15408.36 15664.73 14410.72 12703.19 11072.43 10465.16 9786.07 9080.17 7787.11 6577.91 4989.99 3909.02 3190.91 2450.05 2023.15 1707.98 1440.58 1308.64 1110.62 996.72 960.12 971.58 992.53 1035.23 927.56 789.03 615.78 454.43 366.11 321.3 283.45 274.17 263.66 248.57 260.26 203.72 173.78 144.89 130.54 135.52 132.65 116.7 108.18 107.18 95.63 88.97 83.03 79.77 80.26 74.15 75.87 69.85 60.36 53.94 47.01 41.21 34.94 30.12 25.22 19.02 14.71 11.82 9.11 7.28 6.02 5.73 5.53 4.57 3.58 2.8 2.17 1.66 1.22 0.8 0.5 0.28 0.15 0.08 0.05 0.03 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1933 Chinook_1 transport 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 82.28 1034.21 1295.46 1467.46 1677.37 2183.65 2466.05 2891.41 3144.83 4285.39 7077.47 8058.19 7407.89 7845.66 7714.9 7357.43 6890.9 6924.85 6413.23 6155.64 5753.79 5172.45 4927.17 4730.14 4695.21 4689.63 4584.73 4926.92 4652.22 4323.31 4134.96 3708.33 3429.83 3203 3456.07 3831.09 4928.02 5387.13 4812.74 4768.55 5280.23 7685.38 9145.82 9086.3 8015.2 6334.65 5074.51 4198.5 3325.87 2990.96 2413.34 1914.67 1940.11 2023.26 1784.27 1858.49 1671.09 1558.95 1156.18 824.83 644.77 708.94 748.78 774.45 784.11 626.31 515.83 472.62 494.68 472.48 409.2 297.26 211.39 131.33 117.86 94.72 94.83 85.42 79.45 80.94 68.68 65.72 60.48 56.26 50.29 48.38 36.31 26.18 23.79 17.96 15.04 12.07 10.29 7.94 7.36 6.48 4.68 5.22 4.41 2.8 2.29 1.59 0.87 0.46 0.24 0.14 0.08 0.04 0.02 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
