Year Species MigrationType 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 241 242 243 244 245 246 247 248 249 250 251 252 253 254 255 256 257 258 259 260 261 262 263 264 265 266 267 268 269 270 271 272 273 274 275 276 277 278 279 280 281 282 283 284 285 286 287 288 289 290 291 292 293 294 295 296 297 298 299 300 301 302 303 304 305 306 307 308 309 310 311 312 313 314 315 316 317 318 319 320 321 322 323 324 325 326 327 328 329 330 331 332 333 334 335 336 337 338 339 340 341 342 343 344 345 346 347 348 349 350 351 352 353 354 355 356 357 358 359 360 361 362 363 364 365
1929 Chinook_1 inriver 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.06 0.17 0.45 1.04 2.14 4.08 7.29 12.44 20.68 33.71 54.21 86.29 135.1 205.87 303.62 432.55 601.62 801.39 1027.72 1287.71 1607.52 2012.07 2530.04 3179.2 3917.68 4692.82 5545 6453.64 7391.46 8581.18 10110.51 11782.33 13780.84 16256.9 18872.01 21225.28 24118.62 27575.57 29771.67 30554.17 29713.21 27121.69 23254.55 19149.04 15713.68 13171.43 11174.62 9353.63 7555.46 6177.39 5354.45 4705.96 3894.19 2892.38 2047.02 1433.16 1011.7 721.15 496.57 342.61 246.75 208.67 183.85 154.74 130.71 129.24 140.31 137.85 126.3 102.78 50.95 19.06 9.4 5.23 2.18 0.86 0.55 0.24 0.05 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1929 Chinook_1 transport 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 331.74 2698.11 2074.96 2156.75 2139.26 1861.53 1686.62 1668.44 1864.8 1552.9 5285.51 5101.4 3649.8 3200.36 2990.03 2845.82 3208.25 2775.56 2831.94 2230.98 1911.11 1675.24 1260.29 1027.85 778.32 701.87 686.35 649.49 556.59 572.63 594.35 507.95 510.27 534.1 558.84 346.12 212.95 233.28 256.01 225.76 169.99 126.1 94.79 119.92 143.78 106.41 50.01 36.01 42.29 39.58 45.01 46.13 34.07 27.05 23.92 27.15 22.75 16.59 16.43 18.25 11.55 10.57 7.79 7.81 7.64 7.26 6.52 4.98 4.64 4.48 2.37 3.12 3.75 1.24 0.15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1930 Chinook_1 inriver 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.05 0.14 0.37 0.86 1.79 3.44 6.16 10.49 17.4 28.4 46.03 74.17 117.96 182.99 274.51 401.01 575.3 800.69 1081.57 1422.46 1855.49 2439.88 3216.35 4158.27 5207.56 6346.45 7651.82 9157.67 10884.47 12919.76 15242.44 17751.06 20487.23 23281.4 25470.63 27057.62 28726.27 30536.24 31480.99 30735.39 28361.79 24464.5 19983.2 16194.64 13364.1 10768.54 8081.92 5774.11 4159.29 2949.2 1950.97 1398.55 1181.19 996.74 812.53 676.17 617.67 601.39 583.1 597.44 607.06 633.82 626.77 571.19 500.75 499.7 507.69 427.44 281.12 169.31 60.84 13.36 2.39 0.29 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1930 Chinook_1 transport 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 274.76 2179.88 2018.48 1266.25 1107.39 877.53 818.11 759.61 862.23 759.75 2870.62 3463.31 3097.03 3021.93 2785.5 2629.35 2737.63 2563.59 2722.07 2316.63 1978.66 1787.44 1411.99 1377.78 1071.14 923.03 863.35 858.21 744.44 737.49 709.09 577.22 383.66 329.79 340 282.53 209.8 225.27 276.94 227 157.13 104.48 102.95 155.68 168.36 124.74 69.75 51.25 52.3 43.43 44.07 49.58 36.76 26.89 26.68 26.42 25.82 16.31 15.8 17.64 14.16 14.07 10.19 10.73 11.51 11.14 9.67 8.55 8.46 7.85 5.55 4.43 5.35 3.56 1.03 0.11 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1931 Chinook_1 inriver 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.03 0.08 0.24 0.58 1.31 2.69 5.13 9.25 15.83 25.85 40.92 63.69 98.52 151.15 226.84 327.9 454.25 614.2 823.36 1087.88 1411.52 1800.53 2301.12 3003.83 3959.76 5107.21 6324.23 7588.17 9005.64 10646.05 12577.88 14950.28 17589.23 20264.42 22998.9 25651.48 27623.74 28521.18 28489.02 27849.65 26743.57 25261.34 23556.15 21317.89 18666.76 16139.39 13876.63 11471.92 8855.43 6430.46 4661.19 3577.64 2694.57 1899.2 1368.02 1067.88 887.32 812.12 788.49 698.16 573.11 577.01 616 572.47 563.18 659.34 708.65 641.35 514.14 407.28 244.65 114.18 46.25 16.15 3.29 0.35 0.03 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1931 Chinook_1 transport 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 534.2 2902.66 2192.19 2384.28 2167.66 1978.03 1840.17 2060.7 2063.23 1971.73 6768.45 5895.28 3563.38 3132.45 2486.97 2202.42 2423.68 1987.84 1914.15 1548.82 1494.11 1495.9 1013.27 785.09 721.76 757.26 740.51 667.1 619.42 571.58 479.41 550.77 535.82 437.44 319.57 201.57 191.33 246.63 308.73 238.12 162.05 103.16 149.03 164.53 144.38 100.43 62.82 63.69 67.76 69.23 61.42 48.13 55.4 45.09 38.85 42.8 37.51 23.22 20.02 22.38 16.16 11.59 11.85 11.01 8.79 7.65 7.57 8.93 8.33 5.15 5.06 5.52 2.4 0.48 0.03 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1932 Chinook_1 inriver 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.04 0.11 0.29 0.68 1.44 2.85 5.26 9.33 16.3 27.74 46.27 75.09 116.81 174.7 251.4 348.71 468.53 613.1 788.01 995.12 1238.29 1534.58 1897.36 2327.57 2821.58 3386.17 4019.43 4703.24 5414.08 6186.48 7135.06 8446.64 10141.16 12029.92 14124.02 16241.65 18283.01 20267.34 21878.45 22819.06 22824.6 22101.28 20858.6 19465.2 17794.55 15854.6 14030.96 12509.86 11337.04 10269.51 9178.47 8275.26 7458.59 6506.15 5405.49 4428.52 3707.89 3143.49 2567.74 1889.67 1240.33 806.65 560.73 384.52 251.15 171.15 127.88 89.65 52.44 26.77 11.07 4.37 2.08 1.21 0.7 0.42 0.42 0.45 0.43 0.39 0.41 0.83 1.15 0.98 0.9 0.91 1.17 1.26 1.28 1.7 1.6 1.08 0.79 0.43 0.23 0.09 0.03 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1932 Chinook_1 transport 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 189.1 1649.3 1286.9 963.99 1189.63 1019.6 962.05 929.02 768.1 685.68 1837.43 1591.9 1253.84 1080.39 795.51 644.18 713.47 779.91 839.24 886.48 966.46 945.68 773.54 695.47 628.89 633.7 546.43 354.83 367.03 439.57 458.38 385.46 304.73 288.65 315.34 169.66 96.6 56.06 41.78 43.5 46.1 40.22 48.91 40.08 36.19 31.7 27.8 28.08 22.15 17.44 18.17 17.84 11.19 7.72 7.66 8.01 7.61 7.78 6.86 6.6 6.05 3.01 4.35 5.11 2.63 0.4 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1933 Chinook_1 inriver 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.02 0.06 0.15 0.36 0.77 1.54 2.95 5.34 9.3 15.69 25.66 41.03 64.62 101.02 155.86 235.75 348.8 501.44 699.82 946.64 1243.59 1585.15 1966.49 2399.13 2930.72 3638.07 4609.11 5736.67 6973.75 8222.23 9549.03 11043.18 12688.07 14269.54 15696.6 17252.08 18808.18 19996.26 20990.73 21626.25 21588.99 20925.71 19676.27 17959.94 15807.27 13349.13 10904.09 8398.57 5795.32 3546.2 2118.95 1367.26 904.14 529.74 263.3 131.28 75.42 48.82 33.14 23.07 16.66 15.11 17.26 20.58 23.12 29.52 43.65 59.83 74.29 84.53 76.77 57.38 44.35 40.39 32.7 19.85 13.45 9.62 4.3 1.29 0.33 0.14 0.06 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1933 Chinook_1 transport 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 155.35 1797.67 1455.2 1114.12 1330.47 1254.81 1494.59 1436.47 1339.43 1487.59 3076.06 3082.94 2861.12 2851.5 2775.5 2410.35 1867.21 1642.93 1447.61 1316.02 904.25 863.18 843.73 927.63 972.84 998.8 863.13 661.13 509.04 445.19 430.02 374.81 315.19 314.54 356.19 307.61 249.32 166.46 153.19 190.7 242.43 247.07 121.12 77.93 79.74 76.57 80.01 73.72 53.69 52.65 41.5 39.93 40.49 28.01 22.58 25.14 22.33 10.64 7.51 7.97 7.37 6.34 6.28 5.9 5.48 5.71 3.38 3.02 4.01 2.04 0.11 0.11 0.14 0.15 0.13 0.15 0.22 0.17 0.26 0.24 0.19 0.2 0.07 0.07 0.06 0.07 0.04 0.02 0.02 0.01 0.02 0.02 0.02 0.02 0.01 0.01 0.01 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
