Year Species MigrationType 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 241 242 243 244 245 246 247 248 249 250 251 252 253 254 255 256 257 258 259 260 261 262 263 264 265 266 267 268 269 270 271 272 273 274 275 276 277 278 279 280 281 282 283 284 285 286 287 288 289 290 291 292 293 294 295 296 297 298 299 300 301 302 303 304 305 306 307 308 309 310 311 312 313 314 315 316 317 318 319 320 321 322 323 324 325 326 327 328 329 330 331 332 333 334 335 336 337 338 339 340 341 342 343 344 345 346 347 348 349 350 351 352 353 354 355 356 357 358 359 360 361 362 363 364 365
1929 Chinook_1 inriver 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.03 0.09 0.26 0.68 1.62 3.61 7.59 15.06 28.85 52.87 93.09 158.41 259.34 400.38 581.59 808.81 1087.53 1388.82 1717.37 2142.32 2669.72 3247.12 3892.03 4681.38 5611.02 6644.73 8186.92 10501.33 13195 16112.95 19411.89 22917.22 26272.59 29727.18 32548.74 35170.38 37212.11 37889.67 36294.71 33245.11 29951.37 25422.93 20145.95 15549.44 11551.54 9051.48 7334.08 6109.39 5227.15 4924.5 5320.83 5716.47 5708.84 5438.25 4906.79 4456.34 4472.4 4366.66 3637.63 3032.24 2543.96 1840.51 1169.04 864.93 759.1 732.21 890.98 884.17 672.05 484.7 290.32 180.63 186.51 182.66 122.43 89.01 115.65 122.82 84.63 66.52 64.6 68.69 55.59 45.21 37.41 19.55 12.54 9 3.28 0.78 0.12 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1929 Chinook_1 transport 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 553.69 4418.1 3744.98 4315.31 4063.69 3648.33 3494.21 3555.38 3695.23 3386.01 10368 9162.41 6707.87 5656.84 4857.81 4548.64 4730.54 3602.26 3931.19 3748.53 4345.9 4615.05 4040.06 3856.67 3314.86 2969.89 2497.78 2251.48 2002.41 1858.4 1741.96 1857.77 2113.08 1915.88 1541.83 1156.84 1015.45 935.62 846.04 760.16 655.92 462.49 269.13 266.71 344.74 324.47 187.71 181.17 246.99 224.38 179.84 151.54 166.87 163.97 144.56 105.99 75.26 66.11 74.67 68.51 57.48 93.21 83.66 68.51 68.87 71.06 60.57 42.12 32.04 30.12 27.55 20.36 16.32 13.41 13.8 13.38 12.98 11.22 10.05 9.41 7.73 7.06 5.86 2.93 1.35 0.24 0.03 0.01 0.01 0.01 0.01 0.01 0 0 0 0 0 0 0.02 0.02 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1930 Chinook_1 inriver 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.03 0.11 0.3 0.75 1.71 3.63 7.29 14.11 27.07 51.75 99.2 188.96 345.69 587.51 916.91 1324.46 1815.89 2382.12 3010.57 3768.7 4712.13 5778.77 7006.75 8413.66 9795.74 11195.08 13157.38 16234.94 20062.34 24433.73 29167.91 32831.51 34607.45 35440.82 36233.63 36406.95 34682.98 31076.84 27106.67 23071.6 18251.27 13494.66 10507.47 9300.9 8390.9 7446.81 6549.72 5717.3 4984.82 5000.5 5726.78 6475.54 6636.45 6186.66 5568.66 5150.14 5156.56 4947.14 4004.82 3261.97 2649.75 1988.73 1285.84 827.93 533.64 398.29 382.79 319.23 224 164.24 106.3 61.42 51.19 61.39 49.75 28.14 26.31 35.54 25.37 16.19 13.21 11.59 8.27 5.51 4.26 2.49 1.91 2.44 2.61 2.14 1.84 1.69 1.35 1.27 1.41 1.67 1.29 1.03 1.01 0.69 0.28 0.13 0.11 0.09 0.07 0.07 0.07 0.06 0.04 0.04 0.03 0.02 0.02 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1930 Chinook_1 transport 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 439.39 4431.78 4589.22 3314.64 2787.03 2308.56 2260.65 2150.54 2181.43 1653.83 5424.55 5962.3 5500.16 5474 4893.41 4592.27 4410.59 3816.82 4162.15 3918.59 4498.33 4643.66 4164.74 4522.15 4184.77 3700.16 3107.1 2859.94 2550.89 2318.27 2054.95 1874.93 1533.74 1255.27 942.26 833.24 897.17 997.58 965.12 825.73 650.81 435.29 337.43 371.13 432.09 382.49 280.82 276.84 313.55 272.85 225.78 190 165.22 167.49 184.42 146.49 98.29 64.11 73.72 78.34 69.6 123.87 117.88 103.77 94.75 91.18 74.23 65.7 50.7 47.3 41.22 25.32 18.86 18.69 18.51 13.43 11.24 10.57 9.4 9.75 9.96 8.02 5.75 3.51 2.17 0.61 0.11 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1931 Chinook_1 inriver 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.05 0.16 0.41 0.98 2.12 4.28 8.23 15.43 28.49 52.4 95.87 174.98 316.86 551.63 889.73 1312.01 1795.26 2341.81 2955.19 3650.57 4496.01 5501.97 6636.66 7958.41 9507.72 11097.65 12558.64 13926.53 15639.74 17825.12 20537.53 23883.33 27073.01 29618.91 32014.45 34696.74 37055.92 38063.13 36300.21 31637.8 27009.37 22199.03 16835.97 12773.21 9520.49 7600.66 6606.55 5953.8 5570.94 5407.29 6166.2 7019.46 6910.08 6698.34 6525.28 5754.65 5182.62 4983.97 4070.5 2905.76 2647.73 2219.26 1348.09 829.92 754.87 634.94 508.25 429.43 313.04 152.26 82.38 57.8 47.05 52.84 58.39 49.61 33.91 32.56 35.69 25.28 15.51 12.77 13.93 8.88 4.7 3.35 1.97 1.36 1.05 0.67 0.31 0.11 0.06 0.03 0.02 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1931 Chinook_1 transport 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 886.07 4995.54 4258.53 4372.06 4103.93 3935.27 3719.69 3752.64 3381.67 2840.15 11218.11 9005.23 5818.91 4614.38 3780.98 3305.56 3236.26 2893.43 3394.56 3724.81 4198.38 4197.09 3505.58 3239.81 2829.59 2584.77 2362.64 2152.07 1731.66 1415.86 1529.64 1956.74 1706.42 1041.03 851.65 809.04 742.93 772.79 930.26 822.79 538.55 276.9 329.21 404.3 378.19 355.03 326.1 349.7 356.54 314.73 207.31 186.59 250.43 254.55 195.56 156.1 129.06 92.58 76.13 101.44 111.54 115.4 108.97 90.34 70.99 57.79 62.69 56.57 52.59 48.9 31.46 19.9 14.52 12.73 10.59 9.81 9.16 8.63 8.45 7.28 5.99 5.48 4.17 2.02 0.51 0.08 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1932 Chinook_1 inriver 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.03 0.09 0.23 0.52 1.12 2.25 4.32 7.96 14.41 25.96 46.06 79.65 133.56 217.1 341.15 514.5 740.67 1028.47 1401.96 1907.51 2549.04 3268.63 4109.84 5043.11 6106.04 7398.45 8823.92 10293.79 11769.66 13445.89 15504.88 18075.72 20872.32 23569.91 26267.09 29112.46 32430.17 35837.54 38352.41 39703.78 39063.63 35585.81 29691.12 23698.71 19579.82 16887.29 14362 11667.96 9276.06 7796.3 7140.92 7030.05 6718.51 5794.52 4942.6 4388.31 3831.8 3083.11 2358.55 1728.76 1190.19 957.73 841.96 697.13 565.49 545.86 581.84 572.36 551.36 588.92 511.68 433 426.76 360.65 305.3 276.51 269.53 306.87 307.19 280.88 227.63 181.09 176.02 161.93 127.82 82.15 50.76 39.72 38 38.5 37.54 30.95 23.79 17.16 9.82 5.58 1.99 0.39 0.06 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1932 Chinook_1 transport 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 329.4 3488.99 2562.16 1804.82 2584.84 2187.91 1883.76 1725.46 1295.46 1150.7 3234.54 3385.45 3230.19 3228.97 3160 3104.8 3345.27 3158.27 3033.94 3365.69 3853.68 4199.42 3934.92 3618.52 3274.21 2882.78 2258.15 1582.13 1477.32 1532.31 1678.01 1708.42 1822.51 1484.08 1006.16 483.93 414.79 330.31 234.85 184.09 205.13 235.28 282.28 247.27 194.47 174.09 192.73 195.14 155.15 107.53 79.82 81.43 80.66 89.73 88.39 79 78.11 67.51 70.12 54.93 38.74 27.46 45.1 45.07 28.39 18.53 15.27 14.53 12.98 12.12 10.3 10.45 10.92 6.26 6.84 5.65 2.47 1.12 0.26 0.04 0.01 0 0.01 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1933 Chinook_1 inriver 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.05 0.13 0.33 0.75 1.63 3.34 6.54 12.49 23.48 43.75 80.97 147.91 263.41 449.82 727.77 1075.03 1483.12 1926.73 2408.51 2947.98 3528.06 4080.57 4644.23 5380.92 6353.27 7644.01 9262.6 11007.95 13054.23 15714.34 19049.28 23137.82 27618.4 31894.84 35767.21 38416.49 38188.95 34684.38 29450.67 24348.95 19766.83 15584.89 11985.49 9103.24 6913.26 5429.45 4463.03 3749.04 3274.57 3178.45 3499.05 3916.76 4005.07 3936.06 3920.34 3857.82 3856.9 3707.07 3231.69 2583.17 2099.23 1932.19 1740.99 1365.93 1130.52 1061.94 1094.32 999.37 829.75 520.74 333.31 275.14 211.98 122.99 108.09 119.98 101.98 77.06 53.7 48.96 55.15 52.79 40.75 28.18 21.83 22.55 21.73 21.67 19.6 14.83 14.6 12.91 12.9 12.85 9.33 7.19 8.3 8.56 5.18 2.77 2.05 1.32 0.65 0.41 0.34 0.35 0.33 0.32 0.25 0.18 0.14 0.13 0.09 0.03 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1933 Chinook_1 transport 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 342.7 4903.13 4147.62 3223.05 3385.63 3281.88 2923.83 2432.85 2961.7 2717.05 6065.3 6268.64 5343.77 4913 4410.62 4163.16 4078.55 4364.46 4198.96 4056.92 3629.9 2889.69 2646.38 2672.94 2845.5 3064.04 2906.67 2447.92 2231.7 1879.83 1617.98 1281.65 1251.77 1196.66 1344.48 1130.7 1102.73 853.64 634.08 478.48 606.51 811.3 605.18 385.55 385.81 480.25 431.2 335.33 253.53 240.2 287.06 270.88 194.04 130.24 103.27 103.77 102.34 101.82 94.72 69.36 61.05 57.66 50.96 53.17 36.24 28.45 30.57 29.82 17.25 10.99 11.86 14 15.77 13.62 12.39 12.42 11.24 9.95 9.01 7.44 5.86 3.04 0.93 0.3 0.07 0.02 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
