Year Species MigrationType 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 241 242 243 244 245 246 247 248 249 250 251 252 253 254 255 256 257 258 259 260 261 262 263 264 265 266 267 268 269 270 271 272 273 274 275 276 277 278 279 280 281 282 283 284 285 286 287 288 289 290 291 292 293 294 295 296 297 298 299 300 301 302 303 304 305 306 307 308 309 310 311 312 313 314 315 316 317 318 319 320 321 322 323 324 325 326 327 328 329 330 331 332 333 334 335 336 337 338 339 340 341 342 343 344 345 346 347 348 349 350 351 352 353 354 355 356 357 358 359 360 361 362 363 364 365
1998 Chinook_1 inriver 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0.02 0.04 0.07 0.15 0.36 1 2.78 7.13 15.65 30.06 51.52 81.17 116.89 158.73 205.55 257.33 314.47 379.8 447.04 524.63 606.75 692.66 797.21 908.97 1006.94 1107.58 1226.85 1392.39 1627.33 1880.63 2105.51 2250.72 2381.53 2474.58 2375.59 2227.95 2073.4 1785.4 1557.14 1402.5 1209.53 977.86 936.68 900.58 844.02 760.1 622.48 607.37 772.29 1047.98 1201.71 1071.38 846 606.63 410.8 301.35 197.48 114.77 63.19 34.23 20.1 13.9 10.7 9.85 10.21 10.03 9.53 8.51 7.43 7 7.87 7.77 6.39 4.91 3.43 2.39 1.77 1.46 1.22 0.96 0.85 0.72 0.53 0.4 0.32 0.27 0.23 0.18 0.13 0.11 0.09 0.07 0.06 0.06 0.05 0.04 0.03 0.02 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1998 Chinook_1 transport 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.68 45.25 110.3 118.77 220.86 326.15 492.63 1449 4239.58 7168.18 8189.82 8044.62 1467.55 1084.82 1062.61 1495.11 2299.28 2361.47 3097.62 4685.89 8458.03 7191.43 7254.93 6769.32 7082.29 7064.56 9629.39 10584.92 11106.61 8401.29 9270.48 9823.21 11955.71 13308.18 11682.89 10434.92 10022.17 13653.76 20086.5 17962.01 17936.41 19033.75 16373.55 14869.58 14961.86 12825.64 10068.6 9792.45 8526.87 6844.93 5466.66 5064.26 5259.88 3993.84 2985.6 2741.19 2125.79 2612.02 2613.9 3344.61 4227.56 3290.82 2851.83 2529.26 1921.52 1270.79 1086.39 805.59 538.05 372.26 289.85 202.98 172.48 149.26 154.6 197.39 159.18 165.9 203.48 204.47 180.47 227.76 316.1 430.7 260.24 237.86 339.15 409.06 562.55 570.51 288.37 340.83 417.33 336.53 528.96 692.16 289.55 174.11 288.58 587.09 430.23 449.33 363 427.89 790.95 411.09 241.6 233.04 170.62 111.27 64.13 38.69 28.47 22.8 38.31 19.11 34.45 34.8 37.45 44.3 31.82 10.48 15.71 9.6 23.29 18.86 14.19 51.82 15.63 21.05 10.84 27.52 4.58 4.32 3.44 4.05 10.77 8.89 1.57 1.7 1.05 4.08 17.67 8.43 4.89 17.23 1.86 2.04 1.81 1.34 0.92 0.6 0.39 0.25 0.16 0.1 0.06 1.76 7.59 0.19 0.45 0.51 0.43 0.32 0.22 0.15 0.1 0.06 0.04 0.03 0.02 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1999 Chinook_1 inriver 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.03 0.1 0.26 0.59 1.17 2.19 3.87 6.53 10.63 16.5 25.02 37.52 54.98 80.93 118.9 171.79 238.63 315.67 403.78 508.98 639.05 766.77 878.76 989.87 1118.65 1255.8 1393.96 1546.86 1730.57 1955.07 2324 2882.46 3455.44 3662.71 3717.81 3915.96 4026.26 4001.58 4005.63 3836.27 3512.14 3188.89 2964.37 2676.54 2411.17 2215.23 2161.99 2228.28 2277.76 2165.92 1936.78 1752.75 1620.1 1642.23 1990.26 2474.45 2807.23 2845.48 2906.5 2728.09 2509.23 2032.86 1529.32 1124.93 859.99 659.82 534.05 452.57 404.3 421.84 412.78 440.34 438.04 367.46 282.1 211.19 160.75 142.46 155.25 167 154.72 142.08 127.47 96.4 68.93 51.17 33.84 21.23 12.84 7.69 5.61 4.43 3.19 2.44 2.02 1.35 1.03 0.82 0.54 0.38 0.32 0.24 0.17 0.14 0.13 0.12 0.12 0.12 0.1 0.07 0.05 0.04 0.03 0.02 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1999 Chinook_1 transport 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 247.99 965.57 1279.11 2632.47 8219.33 11874.54 15937.07 17884.78 7412.56 9962.64 3148.81 2151.02 3635.65 5553.01 4459.24 4793.97 5804.78 5065.52 6199.76 6591.8 9667.24 11366.62 10158.79 8584.95 9953.25 15369.8 25962.78 27313.62 27310.57 36686.57 33302.26 28264.32 30610.48 37608.82 31909.91 42027.19 41147.73 32853.04 39852.07 38777.82 36128.06 26982.61 24341.59 20300.95 22093.35 23523.81 22748.73 14462.85 13892.09 17725.31 16382.78 13018.63 11689.87 14161.42 13240.11 12878.82 12195.52 13899.15 12694.81 24511.57 19926.07 16984.22 19756.48 22300.15 24591.32 19241.11 15365.12 12368.1 9303.01 7574.81 6337.83 5110.99 5413.21 5276.82 6873.43 5383.69 5174.73 5622.79 5316.99 3271.49 2754.38 2075.31 2092.52 2569.29 2703.57 3405.33 3354.63 3897.22 3060.08 2597.67 2203.12 1493.56 959.35 696.02 632.21 391.96 337.67 281.03 282.61 181.18 223.69 337.49 176.23 102.74 73.22 72 71.77 122.92 57.8 109.51 51.42 47.62 31.36 34.79 23.66 19.03 8.6 10.16 28.19 36.15 4.04 14 44.83 6.12 14.93 14.7 12.23 3.73 3.2 2.46 1.69 0.86 0.62 0.39 0.23 0.14 0.08 0.05 0.03 0.02 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2000 Chinook_1 inriver 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.02 0.03 0.06 0.1 0.14 0.21 0.33 0.55 1.08 2.53 6.17 14.43 30.64 61.13 119.35 226.44 408.17 691.28 1067.27 1539.06 2122.47 2796.5 3469.21 4039.51 4414.06 4633.63 4799.51 4794.85 4635.88 4590.15 4540.35 4429.74 4446.38 4363.43 4161.4 4128.72 4020.33 3734.25 3582.04 3422.68 3369.81 3324.27 3044.85 2662.26 2297.79 2046.69 1730.29 1492.8 1409.25 1261.16 1021.93 831.14 816.16 890.6 1014.14 1139.61 1160.26 1162.03 1123.18 1056.26 1059.55 1105.67 1110.48 1026 1042.15 965.45 927.64 1086.7 1306.06 1400.63 1267.54 1015.26 716.73 437.72 223.92 103.71 52.96 29.14 17.06 11.68 9.65 8.59 6.98 4.93 3.34 2.52 1.91 1.4 1.19 1.06 0.84 0.63 0.52 0.45 0.37 0.32 0.3 0.26 0.19 0.12 0.07 0.04 0.02 0.01 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2000 Chinook_1 transport 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.72 44.39 113.57 63.2 103.18 84.3 223.69 197.69 161.96 269.13 586.65 564.9 1918.74 2690.62 2383.14 1181.39 1049.56 3097.64 6130.05 10458.96 17272 21321.12 16727.52 19121.04 12695.62 14967.71 17056.34 19966.67 21960.28 17798.6 22186.6 23039.23 29619.36 21168.8 21481.94 25341.6 24187.04 22598.05 25270.06 22688.91 22505.52 23793.09 19734.77 16784.91 17219.33 15803.22 15740.47 14582.13 13362.57 12967.45 8415.81 8985.52 6781.25 6089.87 5676.72 6606.7 6070.3 5720.22 6221.91 7486.06 8142.56 7658.9 10445.35 9520.24 10089.9 10207.76 8938.7 7589.04 15216.32 8014.28 6612.87 6819.3 7904.51 9383.31 15789.24 8823.67 13532.79 8424.6 6909.95 6673.33 3973.58 5679.54 4892.25 2874.24 6088.9 3072.03 3904.53 3655.22 3289.22 2591.6 2351.26 1947.88 2244.93 1240.44 1089.67 1013.93 1018.15 929.88 762.37 791.47 1163.57 483.8 590.94 407.92 411.32 284.04 167.62 114.44 115.39 115.17 57.54 113.59 127.46 206.71 147.71 102.59 105.02 43.53 96.48 80.57 29.58 27.5 26.18 38.08 63.83 43.32 25.98 16.34 11.32 24.23 24.14 60.55 44.42 43.8 36.93 35.62 23.86 11.06 22.86 5.38 4.44 5.31 12.62 10.23 3.02 11.54 9.96 3.47 10.1 1.56 1.44 1.24 0.98 0.73 0.53 0.38 0.27 0.19 0.13 0.09 0.07 0.05 0.03 0.02 0.02 0.01 0.01 1.91 8.38 0.13 2.2 8.69 0.53 0.68 0.71 0.62 0.51 0.39 0.3 0.23 0.17 0.13 0.1 1.94 8.28 0.24 0.54 0.62 0.53 0.4 0.25 0.18 0.16 0.12 0.09 0.07 0.05 0.04 0.02 0.01 0.01 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2001 Chinook_1 inriver 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0.01 0.02 0.02 0.03 0.04 0.04 0.06 0.07 0.08 0.1 0.13 0.17 0.21 0.27 0.34 0.44 0.56 0.68 0.83 1.04 1.34 1.78 2.41 3.32 4.54 6.33 9.07 12.57 15.74 17.54 18.28 19.44 21.33 23.25 24.8 26.05 27.04 28.16 29.6 31.41 33.28 32.1 28.19 23.67 20.27 19.18 19.27 18.15 15.43 13.28 11.91 10.53 10.13 11.02 10.97 9.4 8.02 7.05 6.08 5.29 4.82 4.32 3.57 3 2.64 2.31 2.02 1.78 1.58 1.36 1.11 0.89 0.72 0.63 0.57 0.47 0.36 0.28 0.21 0.15 0.1 0.06 0.04 0.03 0.02 0.01 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2001 Chinook_1 transport 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9.65 78.61 209.32 302.7 450.65 478.68 362.52 329.9 226.37 268.76 302.83 279.59 383.22 534.3 630.13 548.98 635.94 1899.09 2154.49 1191.64 1069.64 1280.36 1460.98 1525.32 2195.62 4245.46 3287.37 4141.08 5189.06 4462.99 4904.57 5490.85 7692.01 13431.3 12721.75 20908.74 21657.84 18590.29 15202.87 10521.19 10310.63 15554.94 14559.09 7767.39 6916.16 10520.83 15388.95 10340.68 12687.04 14429.85 13011.46 24336.22 19366.47 13215.73 8158.52 7255.94 7012.18 4936.66 4107.32 4247.33 3035.12 3665.2 5524.72 10507.64 3870.92 3345.89 3178.23 2279.25 2539.91 2954.39 1878.21 1598.83 2870.99 2478.23 1803.03 2422.65 1214.21 930.48 938.34 891.35 930.07 969.32 489.71 393.5 302.23 290.53 185.37 102.49 117.53 91.56 78.24 69.18 42.84 42.92 33.99 20.12 15.95 14.37 17.81 9.22 65.2 242.54 64.09 32.02 96.47 55.83 42.11 18.5 23.73 24.29 39.85 44.68 36.11 30.66 8.49 16.28 13.55 4.41 3.57 2.69 1.93 1.35 0.92 0.63 0.44 0.29 0.2 0.14 0.1 0.08 0.06 0.05 0.04 0.03 0.03 0.02 0.02 0.02 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2002 Chinook_1 inriver 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.03 0.07 0.16 0.32 0.68 1.46 2.96 5.66 10.35 18.57 31.3 48.46 70.13 96.41 128.01 169.54 228.32 316.72 460.14 689.03 1030.9 1498.25 2063.54 2713.66 3492.2 4410.56 5145.99 5445.14 5441.51 5179.6 4615.25 3873.03 3155.3 2511.18 2082.15 1847.01 1721.34 1673.2 1711.16 1744.2 1606.06 1387.8 1199.18 1033.89 977.93 1020.91 1024.53 886.77 758.46 702.4 606.82 565.84 655.57 771.86 901.15 925.23 864.74 682.09 563.6 533.8 442 377.08 356.62 330.04 289.89 241.57 192.82 145.56 109.07 80.38 61.67 49.42 43.48 35.99 29.46 28.12 26.83 24.87 19.17 15.32 12.24 8.79 7.72 7.94 8.95 10.33 10.6 10.33 9.61 8.7 7.76 6.25 4.83 3.49 1.88 0.95 0.59 0.37 0.26 0.2 0.13 0.07 0.04 0.02 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2002 Chinook_1 transport 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 55.17 347.64 561.66 470.09 202.67 400.07 500.11 1047.88 3121.62 5032.99 943.47 529.58 575.4 405.53 690.43 1157.47 1373.3 4086.44 3904.97 7682.3 9206.93 11864.78 23808.96 18960.46 14112.2 18962.4 14600.44 7044.59 6929.13 10582.87 12070.7 16525.35 13284.97 13358.59 19087.69 6751.7 18867.73 19539.07 20073.79 21542.54 31389.25 32333.84 30576.2 23968.67 20612.13 19299.43 15647.2 18136.52 16713.46 13851.01 13584.61 12793.19 11346.99 12379.07 13181.23 14115 15054.06 14448.44 16623.15 16714.48 16406.3 16583.73 12859.59 11480.71 10319.85 8358.83 7439.04 6561.02 5254.92 5098.57 5086.68 4101.69 2926.18 3054.15 3082.36 2905.26 2237.32 1474.11 1530.16 1349.23 1041.57 1083.41 1038.17 1175.19 1040.01 1133.61 868.27 1087.38 1137.77 1139.14 870.83 794.69 878.92 814.78 251.07 389.08 409.84 289.34 272.41 195.83 288.44 295.32 350.37 347.54 366.71 90.82 46.89 43.96 38.03 34.14 38.96 22.94 20.56 23.22 27.31 8.9 7.07 5.21 3.65 2.45 1.61 1.08 0.74 0.49 0.33 0.22 0.16 0.12 0.09 0.08 0.06 0.06 0.05 0.04 0.04 0.04 0.03 0.03 0.03 0.02 0.02 0.02 0.02 0.02 0.02 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
